text,label
"Usually I love Lesbian movies even when they are not very good. I'm biased, I guess! <br /><br />But this one is just the pits. Yes, the scenery and the buildings are beautiful, and there is a brief but beautiful erotic interlude, but otherwise this movie is just a complete waste of time. Annamarie alternates between sulking and getting high/stoned/passing out on whatever drug or booze is handy, and Ella inexplicably puts up with this abominable behavior through the entire movie. At no time are we given any insight into why this is so, or even why Annamarie is so depressed and withdrawn.<br /><br />If there had at least been some kind of closure in the (potentially romantic? we don't even know!) relationship between the two, there might have been some kind of satisfaction. But although Annamarie at one point asks Ella ""why do you love me?"" Ella doesn't even acknowledge this. It's never really clear whether this is anything more than an (ill-behaved) Lesbian on a boring road trip with a straight woman.<br /><br />Even the interactions between the two women and the local people they meet on the journey, which could have been lively and informative, are instead flat, tedious and mostly incomprehensible.<br /><br />There is one good joke in the movie, although I'm sure it was unintentional. The women travel in a two-seat Ford coupe with a middling sized trunk. Yet when they set up camp, they have an enormous tent, cots, sleeping gear, and even a table, chair, and typewriter! On top of that, when they board a ferry, we see piles of luggage, presumably theirs, presumably also carried in the little Ford's trunk! <br /><br />And through the entire film, we never see one gas station, or anywhere that looks like it would actually have any place to buy gasoline. Mostly they travel through endless miles of desolate desert. So where did they get fuel?<br /><br />There may not be too many Lesbian films out there, good or bad, but there are plenty that are better than this, and very few that are worse. Leave this one in the rack.",0
"This TV-made thriller is all talk, little action. It works hard to set up its convoluted plot, yet the writing is so muddled the exposition is still cloudy at best. By the end, I knew no more about these characters than I did at the beginning. It has a quasi-""Ten Little Indians"" scenario, but ditches it mid-way through in favor of spotlighting Sally Field and her uncovering of a killer. Field overacts here with a gracelessness I've seldom seen from her. The early introductions are good, but the writing quickly strays off-course and eventually goes over the top. Lots of hysteria, and constant thunder and lightning effects (which adds nothing). A curious failure from producers Aaron Spelling & Leonard Goldberg. With all this talent, couldn't they give us something more than a script full of red herrings and Sally Field hiding in a closet?",0
"""Scoop"" is easily Woody Allen's funniest film of the 2000's so far. Allen, although finally looking his age, is at the top of his game as low-brow magician Sidney Waterman. His one-liners and demeanor are hilarious. Don't let the critics sway your opinion. ""Scoop"" is a top notch ""Woody-Lite"" picture. <br /><br />The classical music score is an excellent compliment to the action on screen. Scarlett Johanson looks gorgeous in that bathing suit. Jackman is dashing. The cinematography glows. ""Scoop"" is wonderful escapist fare from start to finish. The last shot of the film alone is worth the admission price.",1
"You do realize that you've been watching the EXACT SAME SHOW for eight years, right? I could understand the initial curiosity of seeing strangers co-exist on an Island, but you'd think that after watching unkempt, stink-ladened heroes run roughshod through the bush with an egg on a spoon for half a decade would be enough to get you to commit to something a little more original (and interesting).<br /><br />And I'm not even speaking of the shows validity which for the record I find questionable. It's just hard to suspend disbelief for ""Bushy Bill"" eating a rat when the entire crew of producers and camera people are housed in an air conditioned make-shift bio-dome sipping frosty mochcinno's with moxy.<br /><br />What's the appeal here? I don't care about these people or their meandering lives. I just don't get it. But if you DO find yourself being captivated by hairy, unwashed people, I suggest you turn off your TV and just take a trip to your local bus station where you can see people like this in their TRUE habitat. They call them HOMELESS PEOPLE, and free of charge, you can sit back and marvel in their uncanny ability to retrieve various cigarette debris from a plethora of garbage canisters, eventually striking ""pay-dirt"" and fashioning a homemade Dr. Frankenstein-styled cancer-stick, all the while begging people for change for food when the stink of ""Aqua Velva"" on their breath is enough to suggest otherwise. And the best part? Much like Survivor, every week one member of the tribe ""Leaves"" the ""Island"" when they are unceremoniously sent packing to the local Institution when the frightening unmedicated state of full-blown schizophrenia kicks into gear! Now THAT'S ENTERTAINMENT!",0
"This is one of the funniest movies i've ever seen. I rented it as a joke, expecting to get a giggle out of the first few scenes, and let me just say I've never laughed so hard in my life. The first scene where ninjas randomly pop out of the air and start a huge and ridiculous fire fight is one of the most incredibly funny stupid action movie moments of my life. This is not a dinosaur movie, but more a movie that makes fun (and doesn't mean to at all) of the action genre. I didn't see the first two, but judging by the complexity of the plot, I don't think there's to much I missed. If you wanna see a movie that goes great with a six pack or any herbal remedy, than I insist you rent this movie and sit back and watch a 100 years of advancement in cinema get thrown in the trash and get shat on by carnosours",0
"I've read some of the other comments and I do have to agree with the ones that didn't get the ending. I thought it was going rather well..until the end. It kept your mind running and then splat. I have not clue what went on the last couple minutes of the movie except a complete mess. It's like they ran out of money to come up with a good ending so they improvised. First they had a mysterious thing making people disappear then they had a guy talking about Area 51 (which makes you think about aliens) then after they it went to crap. I thought the actors and actresses did fine it's just the script went sour. Anyways, if you do watch this movie be prepared to be disappointed at the end.",0
"So I'm looking to rent a DVD and I come across this movie called 'End Game'. It stars James Woods and Cuba Gooding JR and has the synopsis of a taught political thriller. Well worth a look then. Or so I thought.<br /><br />Boy, was I wrong.<br /><br />End Game has just about the most ridiculous plot I have ever had the displeasure of enduring. Now being something of a whodunnit, I can't really tear into it as I would like without 'ruining' it for those who have yet to experience this monstrosity. But questions such as 'Why has he/she/they done this?', and 'Where on earth did they get the resources to pull this off?' are all too abundant following the film's unintentionally hilarious conclusion.<br /><br />As for the acting - you know those films where you can almost feel that an actor's realised that they've made a terrible mistake in signing on for a movie, and this then shows in their performance? This is one of those. Accompany this with a laughable script and seriously flawed, irritating direction and you have the recipe for cinematic poison.<br /><br />Of course, this didn't make it to the cinema, and for the same reason you should not allow it into your living room; it is appalling.",0
"From the decrepit ranks of the already over-saturated 'Hillybilly Horror' sub-genre comes this woeful tale of a vacationing family terrorized by inbred rednecks. Sound familiar? Well it most definitely should to anyone with even a cursory knowledge of the horror genre. There is absolutely new here. The film seems content to recycle all thee old worn out clichés (deformed hicks, a peaceful family turned gun-toting killers when push comes to show, the rebellious daughter, the one 'freak' who's good at heart, etcetera...), but does even that half-heartedly enough to make this an utter waste of time. This is forgettable dreck, but humorously enough lead J.D. Hart once starred in a movie called ""Films that Suck"" earlier in his career, quite an ironic omen indeed.<br /><br />My Grade: D-",0
"I'm a Christian who generally believes in the theology taught in Left Behind. That being said, I think Left Behind is one of the worst films I've seen in some time.<br /><br />To have a good movie, you need to have a well-written screenplay. Left Behind fell woefully short on this. For one thing, it radically deviates from the book. Sometimes this is done to condense a 400-page novel down to a two-hour film, but in this film I saw changes that made no sense whatsoever.<br /><br />Another thing, there is zero character development. When characters in the story get saved (I won't say who), the book makes it clear that it's a long, soul-searching process. In the film it's quick and artificial. The book is written decently enough where people like Rayford Steele, Buck Williams and Hattie Durham seem real, but in the movie scenarios are consistently given the quick treatment without anything substantial. In another scene where one character gets angry about being left behind (again, I won't say who), it seems artificial.<br /><br />I realize as a Christian it's unedifying for me to say I disliked this film, but I can't in a good conscience recommend a film that I feel was horribly done. Perhaps it would've been better to make the first book into 2-3 films. Either way, Christians need to realize that to be taken seriously as filmmakers, we need to start by putting together a film in a quality way. I realize a lot of effort probably went into Left Behind, but that's the way I see it.",0
"Who in their right mind does anything so stupid as this movie?<br /><br />Accidental killing of a security guard... characters that are so two dimensional that a two year old could have painted drawn them... and better...<br /><br />A red toolbox of death? Please....<br /><br />Hypothermic weak thugs...<br /><br />Acting from hell...<br /><br />Stylistically this movie shifts between teen comedy, thriller, voyeurism and... female ... (uhm) Rambo?<br /><br />Unbelievable and it's an insult to any thinking person. Do not watch, walk away it's more horrible than you may imagine...<br /><br />And on top of it all it's trying to be hip by being overly graphic in it's violence...<br /><br />Mrs Montford: Shoot 'Em Up was fun and funny, this is just pathetic and terrible. Good luck next time. :-(",0
"I saw this on a Cantonese VCD with the English subtitles. I thought the story was good but there were times when some of the subcharacters were grossly over-acting. This took away from the film as did the fairly lame musical score, which really irked me throughout the entire movie. If the musical score was improved I could overlook the few overacted scenes. Then the film would be much, much better.",1
"Being a fan of Billy Bob Thornton, and the diversity of his skills, I noticed this movie listed, and was surprised I hadn't heard of it.<br /><br />I'd traveled more than usual during both the period it was being filmed in 2000, and when it hit theaters more than 2-1/2 years later (that passage of time is the first clue all was not well with the production).<br /><br />Now Patrick Swayze can't act for sour apples, but Thornton has more than enough ability to make-up for the difference between them. And Charlize Theron is someone whom it would be a pleasure to see, even if it showed her watching paint dry.<br /><br />Being curious, I checked this site's production info. It made a whopping < $600 per screen its opening weekend, and just over $400 each, after its month's theater run in latter 2002. Overall gross was $261K, which I'd doubt could cover cast and crew's hotel and food for a week on location.<br /><br />The story is pretty benign, and even the use of the usually interesting locale of Reno is as dull as the rest of the goings-on.<br /><br />It's something like several SNL bits all pieced together, none individually too great at all, and the overall presentation even worse.<br /><br />Whatever, the expenses for this production had to be considerable - even if all worked for less than their usual fees - so the one thing which made it a barely tolerable opus was the quality of the filming and Billy Bob's present (albeit understandably somewhat laconic here , compared with his usual work.<br /><br />Think of the three superb, totally diverse characters he portrayed in ""Sling Blade,"" ""Bandits"" and ""Bad Santa,"" and you know he realized this work was below standard, long before the viewers had the opportunity to confirm this. One star for him, even here, and one because production was better than, say, the typical ""Lifetime"" flick.",0
"Greetings again from the darkness. This one will be compared to ""The Princess Bride"" and although it doesn't measure up to that classic, it is extremely entertaining and well made in its own right. The story line is a bit odd and the whole wall thing is never really explained, but the execution is fine, even building up strong suspense.<br /><br />Charlie Cox plays Tristan, who falls for the wrong girl (Sienna Miller), and agrees to fetch her a fallen star ... who happens to be played by the stunning Claire Danes. Not much suspense on what happens with these two, but the suspenseful part comes in with the wicked witch played by Michelle Pfeiffer and the prince son of King Peter O'Toole looking to reclaim the ruby necklace our ""star"" is wearing. Lots of bad chasing the good.<br /><br />Along the way, an encounter with the strangest pirate you will see (including any from the Carribbean). Robert Deniro plays Captain Shakespeare - tough on the inside, and shall we say in touch with his feminine side. Another encounter involves the brilliant Ricky Gervais as a fast talking trader and that is good for a couple of laughs.<br /><br />Not your typical chase, coming of age, or fantasy film, but director Matthew Vaughn's (""Layer Cake"") effort deserves an audience. Sadly the poor marketing campaign will probably prevent it from making any money. My guess it will find big success on video.",1
"It is not obvious from viewing this film (so I recommend viewers research the people who present their case in it) but this presentation on the realities of Islam, and its encouragement of violence and intolerance against all non-Muslims is lacking objectiveness, and also completely fails to factor in the human condition. It is one thing to document that the Koran says many things about how a devout Muslim is required to interact with non-Muslims, but any realist is able to realize that not every human who feels himself or herself to be a follower of Islam, will agree with and comply with all tenets of that faith and system. There is reason to call much about the presenters into question, such that viewers need to see the presentation with a healthy skepticism; don't swallow it all, hook, line, and sinker, without some thinking of your own.<br /><br />One specific, for instance, is researching the person Walid Shoebat; who claims to be a former Muslim who perpetrated an act of terrorism in Bethlehem. There are many wise people in the world who believe neither of these assertions. I am not nor have I ever been a Muslim. I have never read the Koran. I am not a Christian, nor a member of _any_ faith. But I am an intelligent and discerning human. While the film is quite disturbing, in its presentation of how SOME Muslims view their obligation to Islam; I remind you that there is more to Islam than the views of the fundamentalists. Just as their are fundamentalists and evangelical Christians, so, too, there are variations in the intensity of belief and obligation among Jews and Muslims.<br /><br />When you watch this film, you need to have the salt shaker on hand. One grain will not be enough, you'll need more. Please use your own mind and think for yourself, research what is presented, and evaluate the state of the world and how Islam fits within it based on more than what is said in 98 minutes of video. There is a common thread of political affiliation among those who put this film together, indicating a definite bias. Be your own brain.",0
"I'm a Christian. I have always been skeptical about movies made by Christians, however. As a rule, they are ""know-nothings"" when it comes to movie production. I admire TBN for trying to present God and Jesus in a positive and honest way on the screen. However, they did a hideous job of it. The acting was horrible, and unless one is familiar with the Bible in some fashion, one COULD NOT have understood what the movie was trying to get across. Not only was the movie terribly made, but the people who made it even had some facts wrong. However, in this ""critique"", those facts are irrelevent and too deep to delve into. In short, the Omega Code is the absolute worst movie I have ever seen, and I would not recommend it to anyone, except for comic relief from the every day grind.",0
